Mini-Application Name,Mini-Application Version,Number of MPI ranks,OpenMP not enabled,nx,ny,nz,Number of iterations,Final residual,Total Time,DDOT Time,WAXPBY Time,SPARSEMV Time,Total FLOPS,DDOT FLOPS,WAXPBY FLOPS,SPARSEMV FLOPS,Total MFLOPS,DDOT MFLOPS,WAXPBY MFLOPS,SPARSEMV MFLOPS,Min DDOT MPI_Allreduce time,Max DDOT MPI_Allreduce time,Avg DDOT MPI_Allreduce time,SPARSEMV MFLOPS W OVERHEAD,SPARSEMV PARALLEL OVERHEAD Time,SPARSEMV PARALLEL OVERHEAD Pct,SPARSEMV PARALLEL OVERHEAD Setup Time,SPARSEMV PARALLEL OVERHEAD Setup Pct,SPARSEMV PARALLEL OVERHEAD Bdry Exch Time,SPARSEMV PARALLEL OVERHEAD Bdry Exch Pct
hpccg,1,2,,128,128,128,149,1.26E-18,86.6109,2.98861,6.85423,76.6974,39996900000,2499810000,3749710000,33747400000,461.8,836.443,547.065,440.007,0.576887,1.26482,0.920854,436.935,0.539204,0.69812,0.483875,0.626484,0.0553291,0.0716359
hpccg,1,2,,16,16,16,149,2.18E-43,0.143825,0.013621,0.0114901,0.114369,78118900,4882430,7323650,65912800,543.154,358.45,637.389,576.318,0.00500238,0.0107271,0.00786473,555.538,0.00427804,3.60569,0.00151849,1.27984,0.00275955,2.32585
hpccg,1,2,,32,32,32,149,2.37E-28,1.16038,0.0598394,0.115108,0.970939,624951000,39059500,58589200,527303000,538.573,652.738,508.993,543.085,0.00995614,0.0289857,0.0194709,531.716,0.0207608,2.09345,0.00873816,0.88113,0.0120226,1.21232
hpccg,1,2,,64,64,64,149,1.36E-20,10.5519,0.321657,0.882774,9.32617,4999610000,312476000,468713000,4218420000,473.813,971.456,530.955,452.321,0.0152901,0.168562,0.0919261,448.475,0.0799681,0.85017,0.0624762,0.664207,0.0174919,0.185963
hpccg,1,2,,8,8,8,149,1.57E-76,0.0136665,0.00201032,0.00140802,0.00828229,9764860,610304,915456,8239100,714.513,303.586,650.171,994.786,0.00107573,0.00137061,0.00122317,877.479,0.00110723,11.7922,0.000361257,3.84745,0.000745978,7.94479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpccg,1,4,,16,16,16,149,6.97E-37,0.192201,0.0329025,0.0140268,0.138123,156238000,9764860,14647300,131826000,812.886,296.782,1044.23,954.406,0.0086175,0.0225364,0.0156996,903.349,0.00780678,5.34967,0.00429583,2.94376,0.00351095,2.40591
hpccg,1,4,,32,32,32,149,7.27E-25,1.65666,0.139984,0.211703,1.28533,1249900000,78118900,117178000,1054610000,754.472,558.054,553.505,820.496,0.0152744,0.0657563,0.0453321,801.811,0.029953,2.27731,0.015876,1.20705,0.014077,1.07027
hpccg,1,4,,64,64,64,149,1.58E-19,13.5125,0.671467,1.84876,10.9431,9999220000,624951000,937427000,8436840000,740,930.725,507.057,770.976,0.170479,0.367079,0.279128,762.527,0.121257,1.09592,0.0817679,0.739023,0.0394887,0.356901
hpccg,1,4,,8,8,8,149,1.13E-62,0.0266974,0.00740509,0.00169858,0.0124886,19529700,1220610,1830910,16478200,731.521,164.834,1077.91,1319.46,0.00366047,0.00890912,0.00571504,995.486,0.00406436,24.5537,0.000862766,5.21217,0.0032016,19.3416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpccg,1,8,,16,16,16,149,1.93E-32,0.604673,0.351305,0.0296308,0.132292,312476000,19529700,29294600,263651000,516.768,55.592,988.654,1992.96,0.194908,0.35021,0.268859,1137.46,0.0994983,42.9261,0.0128504,5.54401,0.0866478,37.3821
hpccg,1,8,,32,32,32,149,1.20E-21,3.87718,2.21517,0.195396,1.30316,2499810000,156238000,234357000,2109210000,644.748,70.5308,1199.4,1618.53,0.747957,2.14568,1.27194,1417.56,0.184748,12.4166,0.0279594,1.8791,0.156789,10.5375
hpccg,1,8,,64,64,64,149,4.19E-19,27.2882,4.18059,1.77984,20.937,19998400000,1249900000,1874850000,16873700000,732.861,298.977,1053.38,805.928,1.73327,3.76097,2.85567,784.776,0.564316,2.62457,0.19845,0.92297,0.365866,1.7016
hpccg,1,8,,8,8,8,149,3.08E-54,0.112095,0.0829107,0.00412429,0.0133497,39059500,2441220,3661820,32956400,348.45,29.4439,887.868,2468.7,0.0479139,0.0816395,0.0598332,1343.03,0.0111891,45.5975,0.00147636,6.01644,0.00971272,39.5811
hpccg,1,16,,128,128,128,149,2.52E-18,44.5763,11.9682,12.1833,20.3682,319975000000,19998400000,29997700000,269979000000,7178.14,1670.97,2462.19,13254.9,1.71608,10.5014,5.09915,12949.8,0.479943,2.30208,0.425883,2.04278,0.0540595,0.259301
hpccg,1,16,,16,16,16,149,1.11E-27,0.275516,0.256781,0.00111348,0.0153144,624951000,39059500,58589200,527303000,2268.29,152.112,52618.3,34431.9,0.131778,0.257054,0.185396,10811.9,0.0334563,68.5992,0.0316474,64.8902,0.00180894,3.70907
hpccg,1,16,,32,32,32,149,9.25E-21,0.985634,0.61597,0.032108,0.329953,4999610000,312476000,468713000,4218420000,5072.48,507.29,14598,12784.9,0.185581,0.618601,0.369038,11139.3,0.048743,12.8713,0.0421355,11.1265,0.00660743,1.74479
hpccg,1,16,,64,64,64,149,4.68E-19,8.95523,5.26934,1.412,2.23698,39996900000,2499810000,3749710000,33747400000,4466.32,474.406,2655.6,15086.1,2.76319,5.02821,3.77184,14306.4,0.121915,5.16829,0.0880359,3.73208,0.0338787,1.43621
hpccg,1,16,,8,8,8,149,4.43E-47,0.197793,0.192739,0.000123159,0.00158659,78118900,4882430,7323650,65912800,394.953,25.3318,59465,41543.8,0.135173,0.192585,0.16542,1643.14,0.0385273,96.0448,0.0355864,88.7133,0.00294093,7.33146
hpccg,1,2,,128,128,128,149,1.26E-18,37.2495,1.4555,11.5541,24.2043,39996900000,2499810000,3749710000,33747400000,1073.76,1717.49,324.536,1394.27,0.0486493,0.143928,0.0962886,1372.71,0.380133,1.54623,0.34744,1.41325,0.0326921,0.132979
hpccg,1,2,,16,16,16,149,2.29E-43,0.0183321,0.00182016,0.00104374,0.014687,78118900,4882430,7323650,65912800,4261.32,2682.42,7016.72,4487.85,0.000456495,0.000746518,0.000601507,4157.08,0.00116859,7.37024,0.000807015,5.08979,0.000361577,2.28044
hpccg,1,2,,32,32,32,149,2.13E-28,0.512576,0.0172846,0.0215635,0.46946,624951000,39059500,58589200,527303000,1219.24,2259.79,2717.06,1123.21,0.00284334,0.00285549,0.00284942,1098.03,0.0107648,2.24161,0.00732834,1.52602,0.00343642,0.715586
hpccg,1,2,,64,64,64,149,1.36E-20,4.57649,0.235556,1.29841,3.02545,4999610000,312476000,468713000,4218420000,1092.46,1326.54,360.99,1394.31,0.00283346,0.0139714,0.00840245,1365.65,0.0634943,2.05553,0.0481396,1.55845,0.0153547,0.497086
hpccg,1,2,,8,8,8,149,1.58E-76,0.00218651,0.000308349,0.000111081,0.00148758,9764860,610304,915456,8239100,4465.96,1979.26,8241.34,5538.58,0.000156372,0.000162403,0.000159387,4512.82,0.000338126,18.5202,0.000189258,10.3663,0.000148868,8.15398
hpccg,1,4,,128,128,128,149,1.87E-18,38.0673,3.22412,11.7641,23.0346,79993800000,4999610000,7499420000,67494700000,2101.38,1550.69,637.485,2930.14,0.237385,2.52619,1.27255,2873.87,0.451057,1.92056,0.408719,1.74029,0.0423383,0.180273
